Week,anksiyete: (Turkey)
2020-03-01,68
2020-03-08,68
2020-03-15,48
2020-03-22,61
2020-03-29,62
2020-04-05,66
2020-04-12,52
2020-04-19,68
2020-04-26,61
2020-05-03,59
2020-05-10,55
2020-05-17,57
2020-05-24,52
2020-05-31,65
2020-06-07,60
2020-06-14,54
2020-06-21,61
2020-06-28,63
2020-07-05,41
2020-07-12,53
2020-07-19,40
2020-07-26,68
2020-08-02,71
2020-08-09,66
2020-08-16,60
2020-08-23,60
2020-08-30,58
2020-09-06,68
2020-09-13,57
2020-09-20,63
2020-09-27,99
2020-10-04,69
2020-10-11,76
2020-10-18,63
2020-10-25,46
2020-11-01,63
2020-11-08,56
2020-11-15,64
2020-11-22,53
2020-11-29,56
2020-12-06,62
2020-12-13,70
2020-12-20,63
2020-12-27,86
2021-01-03,78
2021-01-10,100
2021-01-17,62
2021-01-24,81
2021-01-31,84
2021-02-07,68
2021-02-14,90
2021-02-21,76
2021-02-28,69
2021-03-07,64
2021-03-14,60
2021-03-21,61
2021-03-28,69
2021-04-04,61
2021-04-11,89
2021-04-18,76
2021-04-25,55
2021-05-02,57
2021-05-09,68
2021-05-16,71
2021-05-23,77
2021-05-30,96
2021-06-06,89
